record_id,timestamp_ns,timestamp_sec,world_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw
20500,1788255631997829888,1788255631.997829914,odom,-20.822910896058,-2.590545131885,-0.086285871302,0.001705961235,-0.007516145132,-0.689660793423,0.724091560007
20501,1788255632096802560,1788255632.096802473,odom,-20.822342011539,-2.621469902249,-0.086749425707,0.001444916523,-0.007718357508,-0.690306535311,0.723474413149
20502,1788255632197932800,1788255632.197932720,odom,-20.821511940017,-2.648113342567,-0.087270400150,0.001330954148,-0.007990566670,-0.690282601560,0.723494512342
20503,1788255632297923072,1788255632.297923088,odom,-20.819729171664,-2.669489645142,-0.087174858779,0.001439795594,-0.007849531536,-0.690031722834,0.723735126497
20504,1788255632397019392,1788255632.397019386,odom,-20.819352197211,-2.682149290865,-0.086457036274,0.001216650398,-0.007491964488,-0.689723241480,0.724033314421
20505,1788255632497929984,1788255632.497930050,odom,-20.820425675581,-2.687531091774,-0.086347937513,0.001038732874,-0.007823639065,-0.689891295711,0.723869955039
20506,1788255632596942848,1788255632.596942902,odom,-20.820468978129,-2.690323454433,-0.086768886758,0.001252236855,-0.007966454904,-0.690120349102,0.723649688215
20507,1788255632697530880,1788255632.697530985,odom,-20.820278721066,-2.690682411414,-0.086455018758,0.001227724538,-0.007580869738,-0.690003516760,0.723765272699
20508,1788255632795891712,1788255632.795891762,odom,-20.820361189719,-2.688805725707,-0.086478107536,0.001077228290,-0.007920133036,-0.689970476089,0.723793377420
20509,1788255632897462016,1788255632.897462130,odom,-20.820788319416,-2.686930261162,-0.087022571248,0.001256177148,-0.007858935840,-0.689998151095,0.723767373285
20510,1788255632996669952,1788255632.996670008,odom,-20.820553177704,-2.688238223744,-0.086745733022,0.001331818636,-0.007755620257,-0.690090893423,0.723679926091
20511,1788255633097648896,1788255633.097648859,odom,-20.819359889719,-2.687429632701,-0.086208184323,0.001194033853,-0.007809756477,-0.690375246322,0.723408322632
20512,1788255633197889024,1788255633.197889090,odom,-20.818981224064,-2.687860516509,-0.086319068296,0.001258046418,-0.007966356663,-0.690232226192,0.723542969289
20513,1788255633296890624,1788255633.296890497,odom,-20.818878949112,-2.687109474881,-0.085599814323,0.001133219744,-0.007662213018,-0.690196383593,0.723580650916
20514,1788255633396768256,1788255633.396768332,odom,-20.818007784125,-2.687029898459,-0.085033197536,0.001271933507,-0.007747720660,-0.690101396602,0.723670102614
20515,1788255633497102592,1788255633.497102499,odom,-20.817607291019,-2.687098188362,-0.085397503130,0.001208104494,-0.007942773286,-0.690092406910,0.723676670041
20516,1788255633597774592,1788255633.597774506,odom,-20.816793644972,-2.686561564022,-0.086133347866,0.001118502077,-0.008015756572,-0.690400413033,0.723382171665
20517,1788255633696737280,1788255633.696737289,odom,-20.816861744756,-2.687564064267,-0.085687686697,0.001214354885,-0.007997687551,-0.690212369096,0.723561640694
20518,1788255633796011520,1788255633.796011448,odom,-20.816815905324,-2.691802416270,-0.084714559133,0.001181536738,-0.007817481425,-0.690267784804,0.723510798963
20519,1788255633897700864,1788255633.897700787,odom,-20.816397800575,-2.700227360877,-0.084188151946,0.000998444105,-0.008134278257,-0.690302257315,0.723474692144
20520,1788255633996857856,1788255633.996857882,odom,-20.816121966707,-2.717720118680,-0.085104886547,0.001038645431,-0.008251078038,-0.689927958059,0.723830265750
20521,1788255634097891584,1788255634.097891569,odom,-20.814185312043,-2.740092735049,-0.084274620732,0.001078519777,-0.008022643345,-0.689786736602,0.723967355615
20522,1788255634196869120,1788255634.196869135,odom,-20.812282954165,-2.767859043447,-0.084185897032,0.001046030469,-0.008048053537,-0.689937098259,0.723823828774
20523,1788255634297871360,1788255634.297871351,odom,-20.810270494958,-2.801861930335,-0.085081386014,0.001122419984,-0.008030313386,-0.689990179005,0.723773311968
20524,1788255634397777920,1788255634.397777796,odom,-20.808283484708,-2.834763672324,-0.085692551274,0.001293986862,-0.008240886875,-0.690148840226,0.723619369362
20525,1788255634497837568,1788255634.497837543,odom,-20.805605610293,-2.869875695585,-0.086235263690,0.001160671561,-0.008376622812,-0.690202615685,0.723566744906
20526,1788255634595891200,1788255634.595891237,odom,-20.804139016867,-2.904811893762,-0.086800209117,0.001328676038,-0.008341505574,-0.690238518526,0.723532612567
20527,1788255634696998912,1788255634.696998835,odom,-20.818108465560,-2.939132827853,-0.085754497319,0.001610391446,-0.008681452357,-0.697494587253,0.716535651434
20528,1788255634796412672,1788255634.796412706,odom,-20.831675966408,-2.970205501631,-0.084581978665,-0.001335630610,-0.007724650657,-0.705573158786,0.708593722428
20529,1788255634897489408,1788255634.897489309,odom,-20.836464099807,-2.997047044794,-0.078771585477,-0.002738147181,-0.009305958501,-0.710757969538,0.703369753703
20530,1788255634997161216,1788255634.997161150,odom,-20.845720680756,-3.029612589100,-0.075881596809,-0.001863961300,-0.010669756374,-0.715870141111,0.698149427424
20531,1788255635096834304,1788255635.096834183,odom,-20.848667356240,-3.067686745306,-0.073807924675,-0.002427133025,-0.010352771097,-0.717257866629,0.696726690974
20532,1788255635197921792,1788255635.197921753,odom,-20.851161390563,-3.105065268568,-0.075280559344,-0.002214725462,-0.009882383403,-0.718511310559,0.695441536068
20533,1788255635297079552,1788255635.297079563,odom,-20.851904900734,-3.135183544834,-0.076563791431,-0.002175608103,-0.009983731963,-0.718144077091,0.695819427988
20534,1788255635397077504,1788255635.397077560,odom,-20.850917456543,-3.166911791255,-0.076073057441,-0.002440092688,-0.010316165239,-0.718073515637,0.695886520076
20535,1788255635497891072,1788255635.497890949,odom,-20.850187345652,-3.202227892067,-0.076701302545,-0.002087451509,-0.010239987475,-0.717941307801,0.696025189024
20536,1788255635596745216,1788255635.596745253,odom,-20.849103672141,-3.235051347042,-0.076331333184,-0.002328994586,-0.010416438766,-0.717597888218,0.696375864324
20537,1788255635696819968,1788255635.696820021,odom,-20.847737167335,-3.267366638242,-0.075390890140,-0.002681072860,-0.010176720259,-0.716776837932,0.697223214486
20538,1788255635796757760,1788255635.796757698,odom,-20.846893322097,-3.301751802874,-0.076357507845,-0.002529451286,-0.010359664187,-0.715952509041,0.698067535438
20539,1788255635897903616,1788255635.897903681,odom,-20.847013273155,-3.336907932806,-0.076445767754,-0.002440763646,-0.010540975770,-0.715556688067,0.698470870306
20540,1788255635997903872,1788255635.997903824,odom,-20.846734756556,-3.369803763231,-0.075797369010,-0.002636002108,-0.010698586549,-0.714888892851,0.699151244450
20541,1788255636097889280,1788255636.097889185,odom,-20.844891935723,-3.403079592760,-0.077822684757,-0.002993575226,-0.009272312599,-0.713794653383,0.700287266433
20542,1788255636197711104,1788255636.197710991,odom,-20.841817248534,-3.436914191866,-0.078259818940,-0.003014240221,-0.008811356991,-0.713150867669,0.700948724435
20543,1788255636296900864,1788255636.296900988,odom,-20.841566248518,-3.471143461123,-0.078609945113,-0.002963097827,-0.009260344228,-0.712647701630,0.701454716598
20544,1788255636397812224,1788255636.397812128,odom,-20.839831807255,-3.504018389435,-0.078998640755,-0.003088715617,-0.008890811054,-0.712126964945,0.701987606096
20545,1788255636496898048,1788255636.496898174,odom,-20.839341099670,-3.530411889530,-0.079306741248,-0.003046723935,-0.008522478069,-0.711591222043,0.702535420853
20546,1788255636596756992,1788255636.596756935,odom,-20.836133319216,-3.553135913317,-0.080247402649,-0.002442549463,-0.009095792950,-0.708281237951,0.705867543148
20547,1788255636696994560,1788255636.696994543,odom,-20.829730634058,-3.583526244140,-0.081150529437,-0.002957644683,-0.008083698956,-0.704682311391,0.709470750744
20548,1788255636797079040,1788255636.797079086,odom,-20.829301575117,-3.623358428483,-0.081219199720,-0.002989935242,-0.007405330025,-0.705698942140,0.708466812516
20549,1788255636897907200,1788255636.897907257,odom,-20.828262730514,-3.658824930144,-0.081199504745,-0.003300654831,-0.007155722939,-0.705664258418,0.708502544595
20550,1788255636997940736,1788255636.997940779,odom,-20.828978858394,-3.686407399710,-0.079437555618,-0.002647449224,-0.008353132221,-0.705755560495,0.708401231665
20551,1788255637097119744,1788255637.097119808,odom,-20.826490178362,-3.717579498431,-0.079013357200,-0.002803467952,-0.007870313771,-0.705026591899,0.709131654521
20552,1788255637196922112,1788255637.196922064,odom,-20.823627589428,-3.758314310414,-0.081245874459,-0.002033014867,-0.006905602359,-0.704189691605,0.709975392351
