keyframe_id,timestamp_ns,timestamp_sec,map_frame,lidar_tx,lidar_ty,lidar_tz,lidar_qx,lidar_qy,lidar_qz,lidar_qw,lidar_cloud_file,point_count
173,1788254444097136896,1788254444.097136974,map,-3.287503292766109,-10.062937218362576,-0.01371494849144915,0.0016564490639367087,-0.008529313233038826,0.716378079073627,0.697658193397778,keyframes_lidar/keyframe_000173.pcd,3451
174,1788254449196659968,1788254449.196660042,map,-3.2448609085303812,-11.039825616730004,-0.018380753913994005,0.004055039290970761,-0.010884092629911414,0.7172658273496243,0.6967028248115773,keyframes_lidar/keyframe_000174.pcd,3409
175,1788254454196763136,1788254454.196763039,map,-3.1955337652103517,-11.991607159869577,-0.027774215331667934,0.004573993875842011,-0.007348263927281657,0.7173162977000056,0.6966939146075812,keyframes_lidar/keyframe_000175.pcd,3464
176,1788254459296752896,1788254459.296752930,map,-3.1465507077317776,-12.963603379219379,-0.03804844607033613,0.005684279350368121,-0.005396849980649435,0.7172589153109614,0.6967626650341538,keyframes_lidar/keyframe_000176.pcd,3468
177,1788254464396448512,1788254464.396448612,map,-3.0978331471373113,-13.933995908412536,-0.04294367389059614,0.00483467049336478,-0.002006983464678193,0.7175322723752605,0.6965055894094377,keyframes_lidar/keyframe_000177.pcd,3424
178,1788254469396679936,1788254469.396679878,map,-3.041097947406867,-14.881337578606365,-0.04173035826583976,0.007978712601293786,0.006168914488975739,0.7185695858189016,0.6953819346052253,keyframes_lidar/keyframe_000178.pcd,3505
179,1788254474397447680,1788254474.397447586,map,-2.9864530489382113,-15.835647776552923,-0.03693452726976398,0.010347040245494316,0.008062212763364654,0.7192486156153706,0.6946289429752328,keyframes_lidar/keyframe_000179.pcd,3371
180,1788254479397453568,1788254479.397453547,map,-2.9334342121924464,-16.790067550567365,-0.03048005577844727,0.013455399461853621,0.006916960146542405,0.7199346688772643,0.6938769202360294,keyframes_lidar/keyframe_000180.pcd,3470
181,1788254484397471232,1788254484.397471189,map,-2.884101059185623,-17.742630993853474,-0.03266972736430035,0.012246739645496359,0.004563744267970059,0.7210073819603615,0.6928041171680329,keyframes_lidar/keyframe_000181.pcd,3452
182,1788254489497295360,1788254489.497295380,map,-2.834315615213258,-18.716365589470666,-0.037938416922691544,0.010638369982869598,0.002814862498145705,0.7220033216691019,0.6918020707774786,keyframes_lidar/keyframe_000182.pcd,3489
183,1788254494497635840,1788254494.497635841,map,-2.7846065682797883,-19.670759737260653,-0.03938382395747164,0.007910346838393048,-0.00324072653211487,0.7206360477844014,0.6932608533143338,keyframes_lidar/keyframe_000183.pcd,3447
184,1788254499597744896,1788254499.597744942,map,-2.7281300489220874,-20.646580381144854,-0.048287530929658457,0.009392214058394986,-0.002443957546658093,0.7188293864778807,0.6951187859081533,keyframes_lidar/keyframe_000184.pcd,3445
185,1788254504697256960,1788254504.697257042,map,-2.678614514410515,-21.62186769177574,-0.05530966354361492,0.009705585564590962,-0.003245779240721413,0.7203608067791066,0.6935240259591038,keyframes_lidar/keyframe_000185.pcd,3424
186,1788254509697412864,1788254509.697412968,map,-2.6360924098446357,-22.57525841960761,-0.06481157190351028,0.0028811750884629303,-0.007926734049916064,0.7199953394780367,0.6939276452536808,keyframes_lidar/keyframe_000186.pcd,3470
187,1788254514697440512,1788254514.697440386,map,-2.5798978234919354,-23.528589565985,-0.07245590164544141,0.0034215754950115557,-0.004608744087015918,0.7183739199942463,0.6956334978788562,keyframes_lidar/keyframe_000187.pcd,3356
188,1788254519697651968,1788254519.697651863,map,-2.5730684303346414,-23.69644252255628,-0.06933642071668006,0.004017935484842048,-0.003000988315715256,0.7186681785376249,0.6953350986545849,keyframes_lidar/keyframe_000188.pcd,3376
189,1788254524697689600,1788254524.697689533,map,-2.6293140374181028,-22.74489926931788,-0.06587935608436406,0.0030296390094456107,-0.008871586112712021,0.7187521732460658,0.6952031571428416,keyframes_lidar/keyframe_000189.pcd,3387
190,1788254529797636864,1788254529.797636986,map,-2.6743020715660153,-21.772538535424815,-0.055892502869700475,0.0070847447222464445,-0.007667609679527195,0.7184798205516449,0.6954694541200923,keyframes_lidar/keyframe_000190.pcd,3422
191,1788254534897455360,1788254534.897455454,map,-2.7228800135005313,-20.80009726039759,-0.0488597553942268,0.00943961883399877,-0.002306031645354292,0.7183534875287116,0.6956104101935628,keyframes_lidar/keyframe_000191.pcd,3429
192,1788254539997437696,1788254539.997437716,map,-2.776268873227999,-19.825665002894407,-0.03956969100625883,0.008557700277214227,-0.004690913004458656,0.7187287825445903,0.695222049595035,keyframes_lidar/keyframe_000192.pcd,3477
193,1788254545097291776,1788254545.097291708,map,-2.829063765476035,-18.852121817340883,-0.03744992894752463,0.00892952299649386,-0.0007036105249365311,0.7196338236257491,0.6942959948358256,keyframes_lidar/keyframe_000193.pcd,3440
194,1788254550097466880,1788254550.097466946,map,-2.878508619678194,-17.896231128832508,-0.032516727013711826,0.012126066963145957,0.0034264821442171766,0.7199780817436842,0.6938823960361047,keyframes_lidar/keyframe_000194.pcd,3458
195,1788254555197301248,1788254555.197301149,map,-2.9261054483039977,-16.91994761989498,-0.02931874804650035,0.014614520440146533,0.005761922982201824,0.7197395727589923,0.6940663969971137,keyframes_lidar/keyframe_000195.pcd,3383
196,1788254560297306880,1788254560.297306776,map,-2.980079807750249,-15.941529702439793,-0.03622093398406013,0.011016504296755582,0.008408613857219879,0.7194614384705907,0.6943941030854944,keyframes_lidar/keyframe_000196.pcd,3464
197,1788254565397103616,1788254565.397103548,map,-3.0330564116883254,-14.968294484725076,-0.04045687565287679,0.009691307453557386,0.006562871140105979,0.7195115543151651,0.6943818333519494,keyframes_lidar/keyframe_000197.pcd,3439
198,1788254570497207040,1788254570.497207165,map,-3.093889513592505,-14.000379465223062,-0.04071427840705211,0.006558266831333448,-0.0010424542131358557,0.7193704860122391,0.6945948504559314,keyframes_lidar/keyframe_000198.pcd,3423
199,1788254575596871936,1788254575.596871853,map,-3.1459840877820935,-13.029204302412767,-0.037188897170204134,0.005621430786832013,-0.005226006142462089,0.7181994383725144,0.6957949806495537,keyframes_lidar/keyframe_000199.pcd,3367
200,1788254580596903680,1788254580.596903801,map,-3.1919037966772477,-12.076212121705616,-0.027072881821544097,0.005411856011518203,-0.007657710789980738,0.7177585544445522,0.696228934188773,keyframes_lidar/keyframe_000200.pcd,3480
201,1788254585696771584,1788254585.696771622,map,-3.2434153367978333,-11.108788341751445,-0.01711664961091309,0.004391137086175447,-0.010921409097773805,0.7176223981410966,0.6963329192452637,keyframes_lidar/keyframe_000201.pcd,3418
202,1788254590797558016,1788254590.797558069,map,-3.289576691732809,-10.133774753905751,-0.013480269884863623,0.0014613176698908801,-0.008903076177398987,0.7173409520208767,0.6966638775902119,keyframes_lidar/keyframe_000202.pcd,3440
203,1788254595896539136,1788254595.896539211,map,-3.3313446796300012,-9.163121368472943,-0.004198112408276389,0.0049760673871147975,-0.009642162645078417,0.717122552683459,0.6968626205254839,keyframes_lidar/keyframe_000203.pcd,3423
204,1788254600997479936,1788254600.997479916,map,-3.3786158454703537,-8.197020198270927,0.006364132999858503,3.270633762608461e-06,-0.01612238458232518,0.7162006571891407,0.6977081677510487,keyframes_lidar/keyframe_000204.pcd,3460
205,1788254606097096960,1788254606.097096920,map,-3.4231735470480005,-7.222789433805717,0.0070669954974026256,-0.0037455038048522446,-0.012231640856347313,0.7156426546405509,0.6983494462103014,keyframes_lidar/keyframe_000205.pcd,3416
206,1788254611097449472,1788254611.097449541,map,-3.456120265397799,-6.2709752653204545,0.013224974242395899,0.001040454292670645,-0.008720847488804495,0.7159476537053497,0.6980987189701373,keyframes_lidar/keyframe_000206.pcd,3393
207,1788254616196204544,1788254616.196204662,map,-3.4933992036868147,-5.295644119010215,0.01217567916466734,0.0026977743155357824,-0.005332593670134139,0.7151636485233404,0.6989314997117213,keyframes_lidar/keyframe_000207.pcd,3383
208,1788254621197469696,1788254621.197469711,map,-3.529900232851497,-4.347513766390232,0.021182273323891464,0.005656632917847599,-0.005323321651485539,0.7148939150003025,0.699189784712397,keyframes_lidar/keyframe_000208.pcd,3462
